bs,clip_size,device,dropout,embed_size,epochs,ffn_dim,head_size,lr,n_layers,newpath,pred_hid,sch_decay,to_predict,epoch,model,q_median,q_90,q_mean,qerror_50 (Median),qerror_95,qerror_max,mean_qerror,qerror_0,mre,rmse
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,58,3564408489692085575.pt,1.0711100663507445,1.4129357055825058,1.1588104935463563,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,61,3564408489692085575.pt,1.094622250989541,1.3646665975915226,1.158344560568911,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,67,3564408489692085575.pt,1.082681043728129,1.3913102234215995,1.154578205439418,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,68,3564408489692085575.pt,1.0697050081838344,1.3780650955584868,1.1466546807395892,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,41,3564408489692085575.pt,1.1127492981173546,1.3674690841584018,1.1658136019463845,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,42,3564408489692085575.pt,1.0605261574617892,1.258313769329122,1.1023486642985072,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,43,3564408489692085575.pt,1.0518048782240348,1.270507333073259,1.1009603870546298,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,46,3564408489692085575.pt,1.053555154046392,1.241206575001454,1.0916475363140905,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,49,3564408489692085575.pt,1.0462757282066075,1.2255778555142338,1.0890010803134362,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,55,3564408489692085575.pt,1.057126623872119,1.2102324155842246,1.0876594929690075,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,56,3564408489692085575.pt,1.0573673027759174,1.1959175608539736,1.0850384705897105,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,61,3564408489692085575.pt,1.0450588477719345,1.2213770947016718,1.0842605912810226,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,64,3564408489692085575.pt,1.0457594792070095,1.199774805431082,1.0806801262397665,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,70,3564408489692085575.pt,1.0576913300554207,1.1826758730303588,1.079292709001517,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,76,3564408489692085575.pt,1.0565319700920464,1.1617960576033142,1.0758411352610822,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,77,3564408489692085575.pt,1.0504516011154437,1.1634280959526493,1.0705153648688708,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,78,3564408489692085575.pt,1.0448679090633288,1.1555541229206352,1.067642345278959,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,85,3564408489692085575.pt,1.038234878734723,1.1471942270669502,1.0620125106193887,,,,,,,
128,50,cuda:0,0.1,64,100,128,12,0.001,8,./results/mem/,128,0.6,mem,93,3564408489692085575.pt,1.0424601324336522,1.1375210094026629,1.060769084332038,,,,,,,
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,41,-4677096019385286629.pt,,,,1.3421538403426387,1.7579609655314097,53.5191565896031,1.376964846906528,1.000052018829183,0.3297178224954,13624.177802347172
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,42,-4677096019385286629.pt,,,,1.1022745107054193,1.837607773161384,21.241952948967537,1.2466168044488386,1.0000157796093367,0.2020723883405733,13989.460827057086
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,43,-4677096019385286629.pt,,,,1.0992294819331467,1.893048031715049,29.305913810617536,1.2410454222190688,1.0000153027771168,0.1808297130628809,15610.014917050565
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,47,-4677096019385286629.pt,,,,1.094502478180421,1.835179186239538,20.81614646186934,1.2291060481637135,1.0000397153563223,0.1810843307630046,13192.370469585558
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,53,-4677096019385286629.pt,,,,1.083596157304127,1.9659302308633049,28.7053257940272,1.2446806071874228,1.0000060338001806,0.1585703183746362,13514.7961007401
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,61,-4677096019385286629.pt,,,,1.0820315670032457,1.906016463906807,44.27189896737131,1.229595225709705,1.0000052616596304,0.1588145465230237,14687.243066431956
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,97,-4677096019385286629.pt,,,,1.0797941633115349,1.7419585979676795,28.64754053323992,1.2025799924273903,1.000030546182911,0.1549713404442279,14423.906520817316
512,50,cuda:0,0.1,64,200,128,12,0.001,8,./results/mem/,128,0.6,mem,136,-4677096019385286629.pt,,,,1.0725764218050458,1.7042558574667117,30.658818187486848,1.1984142407305578,1.0000070122976394,0.16027360444017108,14884.822583882353
